Shipment_ID,Date,Origin,Destination,Distance_km,Weight_kg,Delivery_Days,Fuel_Litres,Cost_INR,On_Time,Distance_km_Normalized,Weight_kg_Normalized,Cost_INR_Normalized
S001,2026-08-24,Pune,Mumbai,150,420.0,1.0,18,5200,Yes,0.125,0.22580645161290322,0.20967741935483872
S002,2026-08-25,Mumbai,Nashik,165,510.0,2.0,22,6100,Yes,0.17857142857142858,0.3709677419354839,0.3548387096774194
S003,2026-08-26,Pune,Kolhapur,235,680.0,2.0,31,7900,No,0.42857142857142855,0.6451612903225806,0.6451612903225806
S004,2026-08-27,Nashik,Aurangabad,190,390.0,2.0,24,6500,Yes,0.26785714285714285,0.1774193548387097,0.41935483870967744
S005,2026-08-28,Kolhapur,Belagavi,115,300.0,1.0,15,4300,Yes,0.0,0.03225806451612903,0.06451612903225806
S006,2026-08-29,Mumbai,Pune,150,520.0,2.0,21,7000,No,0.125,0.3870967741935484,0.5
S007,2026-08-30,Pune,Nashik,210,460.0,2.0,27,6800,Yes,0.3392857142857143,0.2903225806451613,0.46774193548387094
S008,2026-08-31,Kolhapur,Pune,230,610.0,3.0,30,7600,Yes,0.4107142857142857,0.532258064516129,0.5967741935483871
S009,2026-09-01,Nashik,Mumbai,170,540.0,2.0,23,6300,Yes,0.19642857142857142,0.41935483870967744,0.3870967741935484
S010,2026-09-02,Pune,Satara,120,350.0,1.0,14,4100,Yes,0.017857142857142856,0.11290322580645161,0.03225806451612903
S011,2026-09-03,Mumbai,Kolhapur,375,800.0,4.0,47,9800,No,0.9285714285714286,0.8387096774193549,0.9516129032258065
S012,2026-09-04,Aurangabad,Pune,335,590.0,4.0,42,8900,Yes,0.7857142857142857,0.5,0.8064516129032258
S013,2026-09-05,Pune,Mumbai,150,900.0,2.0,24,7600,Yes,0.125,1.0,0.5967741935483871
S014,2026-09-06,Nashik,Pune,210,480.0,3.0,28,7200,No,0.3392857142857143,0.3225806451612903,0.532258064516129
S015,2026-09-07,Kolhapur,Mumbai,395,700.0,4.0,49,10100,Yes,1.0,0.6774193548387096,1.0
S016,2026-09-08,Pune,Kolhapur,235,520.0,3.0,30,7200,Yes,0.42857142857142855,0.3870967741935484,0.532258064516129
S017,2026-09-09,Mumbai,Nashik,165,430.0,2.0,21,5900,Yes,0.17857142857142858,0.24193548387096775,0.3225806451612903
S018,2026-09-10,Satara,Pune,120,280.0,1.0,13,3900,Yes,0.017857142857142856,0.0,0.0
S019,2026-09-11,Pune,Aurangabad,235,620.0,3.0,32,7800,No,0.42857142857142855,0.5483870967741935,0.6290322580645161
S020,2026-09-12,Nashik,Kolhapur,390,560.0,4.0,48,9400,Yes,0.9821428571428571,0.45161290322580644,0.8870967741935484
