Shipment_ID,Date,Origin,Destination,Distance_km,Weight_kg,Delivery_Days,Fuel_Litres,Cost_INR,On_Time
S001,2026-08-24,Pune,Mumbai,150,420,1.0,18,5200,Yes
S002,2026-08-25,Mumbai,Nashik,165,510,2.0,22,6100,Yes
S003,2026-08-26,Pune,Kolhapur,235,680,,31,7900,No
S004,2026-08-27,Nashik,Aurangabad,190,390,2.0,24,6500,Yes
S005,2026-08-28,Kolhapur,Belagavi,115,300,1.0,15,4300,Yes
S006,2026-08-29,Mumbai,Pune,150,-500,2.0,21,7000,No
S007,2026-08-30,Pune,Nashik,210,460,2.0,27,6800,Yes
S008,2026-08-31,Kolhapur,Pune,230,610,3.0,30,7600,Yes
S009,2026-09-01,Nashik,Mumbai,170,540,2.0,23,6300,Yes
S010,2026-09-02,Pune,Satara,120,350,1.0,14,4100,Yes
S011,2026-09-03,Mumbai,Kolhapur,375,800,4.0,47,9800,No
S012,2026-09-04,Aurangabad,Pune,335,590,4.0,42,8900,Yes
S013,2026-09-05,Pune,Mumbai,150,900,2.0,24,7600,Yes
S014,2026-09-06,Nashik,Pune,210,480,3.0,28,7200,No
S015,2026-09-07,Kolhapur,Mumbai,395,700,4.0,49,10100,Yes
S016,2026-09-08,Pune,Kolhapur,235,520,3.0,30,7200,Yes
S017,2026-09-09,Mumbai,Nashik,165,430,2.0,21,5900,Yes
S018,2026-09-10,Satara,Pune,120,280,1.0,13,3900,Yes
S019,2026-09-11,Pune,Aurangabad,235,620,3.0,32,7800,No
S020,2026-09-12,Nashik,Kolhapur,390,560,4.0,48,9400,Yes
